id,BidPrice,AcceptedBid,ExpectedRevenue,ExpectedConversion
58995330,,0,-106.8,0.336
58995358,,0,-43.12,0.219
58995397,,0,-90.56,0.332
58995410,,0,-82.08,0.308
58995635,,0,94.88,0.321
58995654,,0,19.68,0.518
58995685,,0,-59.92,0.403
58995772,,0,49.92,0.522
58995792,35,0,360.67,0.086
58995977,35,1,271.49,0.356
58996071,35,1,184.64,0.319
58996117,35,0,107.6,0.446
58996178,35,1,82.8,0.463
58996190,35,1,158.96,0.243
58996194,75,1,614.01,0.158
58996207,75,1,613.61,0.337
58996231,,0,326.23,0.14
58996247,,0,-129.12,0.214
58996377,,0,44.48,0.531
58996468,,0,-83.92,0.268
58996709,35,1,414.24,0.396
58996714,75,1,676.15,0.173
58996812,,0,73.44,0.236
58996914,,0,30.8,0.307
58996929,35,1,248.72,0.225
58997029,35,1,312.99,0.436
58997050,,0,91.84,0.312
58997066,75,0,562.58,0.187
58997157,,0,15.2,0.274
58997176,,0,139.76,0.227
58997182,,0,-131.04,0.276
58997209,,0,57.44,0.271
58997354,,0,-74.48,0.345
58997367,,0,62.72,0.321
58997384,35,1,231.68,0.33
58997529,,0,61.44,0.27
58997544,35,1,335.39,0.221
58997572,,0,61.2,0.261
58997640,75,1,532.3,0.598
58997704,,0,-1.28,0.561
58997744,,0,-95.6,0.401
58997777,,0,-77.68,0.246
58997781,,0,-61.68,0.345
58997851,75,1,323.65,0.543
58997854,35,1,91.36,0.365
58998005,35,1,75.28,0.458
58998021,35,0,190.4,0.238
58998048,35,1,385.05,0.24
58998126,,0,41.92,0.252
58998176,,0,34.8,0.235
58998177,35,0,109.92,0.497
58998278,,0,1.52,0.469
58998355,35,1,278.28,0.49
58998405,,0,98.64,0.267
58998447,35,1,370.95,0.151
58998463,75,1,600.98,0.359
58998593,,0,-31.2,0.495
58998647,35,1,221.2,0.273
58998712,35,0,238.96,0.215
58998806,35,1,120.32,0.436
58998858,35,1,301.06,0.375
58998884,35,1,334.41,0.305
58999014,35,0,212.88,0.219
58999049,35,1,301.52,0.604
58999079,,0,-111.2,0.385
58999137,,0,-82.08,0.504
58999140,,0,30.4,0.373
58999276,35,1,124.56,0.351
58999303,,0,111.6,0.224
58999325,,0,79.44,0.374
58999340,35,1,488.16,0.175
58999400,,0,24,0.346
58999407,,0,-21.44,0.308
58999431,,0,-114,0.519
58999539,,0,-60.16,0.312
58999620,35,1,348.19,0.252
58999727,35,1,149.84,0.331
58999736,35,1,211.52,0.425
58999869,,0,-114.96,0.536
58999862,35,1,158.56,0.397
59000032,,0,-2,0.242
59000094,35,1,168,0.29
59000119,,0,36.08,0.176
59000133,35,1,399.49,0.169
59000158,,0,-87.2,0.176
59000148,35,1,176.88,0.248
59000231,75,1,402.64,0.492
59000293,35,1,217.36,0.178
59000306,75,1,409.81,0.343
59000409,35,1,108.64,0.671
59000482,,0,-92.32,0.235
59000525,,0,-21.04,0.41
59000660,,0,10.8,0.298
59000735,35,1,93.28,0.393
59000752,,0,129.76,0.215
59000777,75,1,450.55,0.292
59000793,,0,72.48,0.324
59000856,,0,22.4,0.198
59000878,35,1,258.32,0.427
59000906,35,1,220.32,0.306
59001013,,0,-126.56,0.465
59001009,,0,-23.12,0.326
59001030,,0,-31.76,0.552
59001106,35,0,380.33,0.227
59001258,35,0,361.25,0.275
59001270,35,1,111.92,0.329
59001307,35,1,158.08,0.403
59001342,,0,76.56,0.402
59001438,,0,-109.6,0.382
59001445,35,1,132.48,0.564
59001482,75,1,714.16,0.069
59001605,35,1,210,0.343
59001624,,0,67.2,0.23
59001678,75,1,578.11,0.658
59001748,35,1,151.84,0.302
59001829,75,1,582.46,0.19
59001859,,0,39.44,0.36
59001918,35,1,387.48,0.223
59001933,35,1,99.92,0.399
59001977,35,1,385.12,0.219
59001987,,0,-0.08,0.215
59002102,35,1,410.51,0.229
59002114,,0,19.6,0.246
59002123,35,0,206.72,0.195
59002213,35,1,195.52,0.466
59002380,,0,-53.12,0.552
59002588,,0,-2.08,0.534
59002641,,0,-22.16,0.473
59002647,75,1,710.89,0.35
59002834,,0,-44.88,0.416
59002873,,0,23.76,0.247
59002980,35,1,286.06,0.237
59002994,,0,-8.32,0.511
59003043,,0,-70.48,0.263
59003104,,0,279,0.147
59003154,,0,-73.12,0.302
59003166,,0,-34.16,0.528
59003341,,0,-94.72,0.304
59003348,,0,54.16,0.284
59003381,,0,-86.8,0.292
59003464,35,1,151.68,0.338
59003517,,0,30.96,0.612
59003508,35,1,121.6,0.31
59003771,,0,122.08,0.251
59003780,35,1,292.68,0.238
59003873,,0,49.52,0.296
59003913,35,1,140.56,0.305
59003931,35,1,142.8,0.528
59004036,75,1,333.81,0.507
59004053,35,0,433.31,0.23
59004072,,0,115.12,0.225
59004088,,0,74.32,0.393
59004090,,0,-126.32,0.176
59004112,,0,60.8,0.446
59004101,35,1,248.24,0.274
59004157,,0,12.48,0.343
59004162,,0,-20.96,0.448
59004223,35,1,155.44,0.489
59004246,,0,33.12,0.413
59004356,,0,96.8,0.296
59004511,75,1,365.71,0.381
59004617,,0,-70,0.431
59004682,,0,-27.04,0.742
59004768,,0,75.44,0.248
59004773,,0,-5.28,0.292
59004790,35,1,334.04,0.389
59004924,75,1,589.58,0.26
59004937,,0,-72.56,0.306
59005047,,0,49.68,0.553
59005092,35,1,229.44,0.233
59005195,35,0,344.54,0.319
59005218,,0,-106.8,0.32
59005244,35,1,143.76,0.455
59005310,75,1,555.34,0.249
59005349,,0,-86.8,0.335
59005541,35,1,83.12,0.393
59005568,,0,15.68,0.489
59005665,,0,11.52,0.656
59005691,,0,99.92,0.182
59005741,,0,235.76,0.234
59005803,,0,5.68,0.23
59005815,,0,-20.16,0.265
59005817,35,0,290.4,0.252
59005831,35,1,119.12,0.447
59005930,,0,264.74,0.213
59005939,,0,-85.2,0.474
59005991,,0,50.96,0.169
59006055,,0,-56.8,0.38
59006096,35,1,59.84,0.607
59006103,75,1,381.05,0.48
59006113,35,0,136.64,0.295
59006118,35,1,201.44,0.557
59006132,35,1,378.17,0.263
59006152,,0,-54.48,0.373
59006228,35,1,232.56,0.309
59006265,,0,-56.4,0.372
59006288,,0,-87.6,0.557
59006335,75,1,677.38,0.356
59006385,,0,-107.92,0.189
59006537,,0,-48.16,0.584
59006543,,0,44.8,0.409
59006653,35,1,156.72,0.466
59006738,75,1,407.52,0.319
59006758,35,1,446.06,0.175
59006971,,0,131.44,0.126
59007030,35,0,303.78,0.327
59007142,,0,-83.04,0.533
59007169,,0,-102.4,0.424
59007342,,0,67.44,0.319
59007375,,0,141.2,0.21
59007459,75,1,631.23,0.526
59007580,,0,-46.32,0.177
59007609,,0,-120,0.389
59007683,,0,55.04,0.241
59007807,75,1,410.72,0.333
59007845,,0,-35.04,0.404
59007846,,0,-105.12,0.526
59008072,35,1,144.72,0.631
59008156,,0,34.8,0.418
59008191,,0,65.44,0.238
59008263,,0,55.28,0.347
59008434,35,0,336.9,0.435
59008457,,0,91.6,0.317
59008467,35,1,360.15,0.271
59008596,,0,-116,0.575
59008764,,0,-69.44,0.246
59008871,,0,-129.04,0.681
59008920,,0,-102.72,0.379
59008963,,0,108.72,0.217
59009008,35,1,88.48,0.404
59009132,35,1,71.36,0.458
59009168,35,1,156.56,0.366
59009178,35,1,348.34,0.189
59009216,35,1,152.4,0.413
59009232,75,1,535.54,0.347
59009269,,0,-51.44,0.22
59009332,,0,-97.2,0.622
59009350,,0,9.2,0.412
59009404,,0,-126.88,0.39
59009590,,0,-1.36,0.216
59009609,,0,-65.52,0.482
59009821,35,0,123.6,0.407
59009927,75,1,698.97,0.174
59010030,,0,-37.6,0.378
59010131,,0,13.92,0.366
59010271,,0,-116.08,0.434
59010378,,0,184.24,0.433
59010454,,0,-41.04,0.365
59010465,,0,-90.08,0.506
59010480,,0,46.24,0.2
59010510,,0,55.36,0.236
59010637,,0,-48.96,0.559
59010808,,0,-25.04,0.529
59010815,,0,-20.88,0.513
59010880,35,0,368.19,0.342
59010895,35,1,442.15,0.2
59010919,,0,2.56,0.446
59010984,,0,-51.6,0.414
59011005,,0,52.56,0.218
59011183,,0,-118.08,0.248
59011282,75,1,619.23,0.455
59011290,35,1,303.63,0.542
59011328,,0,-84.56,0.289
59011356,,0,156.48,0.156
59011369,,0,-129.92,0.313
59011423,35,1,227.52,0.277
59011460,35,1,163.12,0.411
59011503,,0,89.6,0.262
59011508,,0,-57.68,0.329
59011534,75,1,496.89,0.545
59011614,,0,-29.04,0.218
59011674,,0,-53.68,0.232
59011678,35,1,296.84,0.384
59011863,,0,-27.04,0.208
59011867,,0,-131.12,0.251
59011905,,0,87.76,0.36
59011953,35,0,219.36,0.346
59012242,,0,52.96,0.525
59012466,,0,130.48,0.254
59012592,35,1,171.92,0.26
59012605,,0,-94.08,0.191
59012717,35,1,143.6,0.359
59012826,,0,-67.84,0.419
59012841,,0,51.6,0.34
59012843,35,0,102.32,0.335
59012872,,0,-122.08,0.151
59012867,35,0,204.88,0.258
59012918,,0,-85.92,0.404
59012987,,0,-6.56,0.551
59012995,,0,-1.04,0.495
59013031,3,1,196.4,0.168
59013215,,0,-41.6,0.198
59013344,,0,-101.2,0.286
59013366,,0,21.12,0.397
59013447,35,1,264.64,0.62
59013471,,0,128.64,0.376
59013503,35,1,198.8,0.374
59013539,75,1,572.16,0.224
59013571,,0,-107.12,0.246
59013590,,0,-25.68,0.292
59013605,,0,121.12,0.209
59013676,75,1,373.34,0.365
59013845,,0,74.4,0.175
59013878,,0,-100.48,0.447
59013917,,0,-45.6,0.414
59013890,,0,8.4,0.247
59013944,,0,-67.28,0.408
59013950,,0,-12.96,0.202
59014057,,0,-72.96,0.381
59014178,35,0,265.04,0.189
59014240,,0,-23.92,0.296
59014273,,0,-53.28,0.205
59014253,35,1,282.02,0.448
59014368,,0,-33.68,0.35
59014426,35,1,188.56,0.238
